Category;Title;Ingredients
entree;Saumon entier au court bouillon aromatique;curcuma, clou de girofle, oignon, saumon, bouquet garni, citron
entree;Velouté de butternut à la cannelle au Cookeo;poivre, beurre, crème fraîche, oignon, butternut, bouillon, cannelle
entree;Saucisson de Lyon brioché;sel, beurre tendre, sucre, levure, farine, feuille de laurier, oignon, saucisson, oeuf
entree;Flan aux asperges;sel, poivre, asperge, asperge, crème fraîche, oeuf
entree;Tartare de thon rouge;sel, poivre, persil, vinaigre balsamique, huile d'olive, thon rouge, oeuf, jus de citron, ciboulette, câpres
entree;velouté petits pois - lardons;petits pois, lardons fumés, crème fraîche épaisse, tapioca
entree;Œuf en gelée par Laurent Mariotte;oeuf, jambon, estragon, bouillon de volaille, gélatine
entree;Foie gras au Thermomix;cognac, poivre, fleur de sel, Foie gras
entree;pâté de viande au micro-onde;oignon, viande hachée, crème, champignon
entree;Soupe de fanes de chou-fleur;poivre, sel, beurre, crème fraîche, chou-fleur, pomme de terre, bouillon, eau
entree;Velouté de tomate rapide;sel, poivre, thym, huile d'olive, oignon, tomate, ail, crème fraîche, cerfeuil, ciboulette
entree;Asperges à la Flamande (Recette belge bien connue);sel, persil, beurre, asperge, asperge, oeuf
entree;Velouté de Potiron et Carottes;muscade, sel, poivre, persil, huile d'olive, oignon, carotte, potiron, pomme de terre, ail, lait, bouillon de volaille, crème liquide
entree;Clafoutis basilic et tomate cerise;aneth, emmental, tomates cerise, maïzena, oeuf, crème allégée, lait, basilic
entree;saucisson à cuire au beaujolais;beurre, sel, poivre, oignon, oignon, saucisson, champignons de Paris, beaujolais, pomme de terre, eau
entree;Tartine avocat et son oeuf mollet;sel, poivre, tabasco, coriandre, avocat, oeuf, pain, yaourt nature, menthe, jus de citron, ail
entree;Harira (soupe marocaine);sel, poivre, pois chiches, Ras el Hanout, tomate, coriandre, persil, tomate, oignon, courgette, carotte, viande, pomme de terre, boeuf, colorant, eau
entree;Velouté aux cosses de petits pois;huile d'olive, thym, feuille de laurier, petits pois, pomme de terre, bouillon de volaille, oignon nouveau, ail, menthe
entree;Flan de courgettes au Thermomix;gruyère râpé, courgette, oeuf, lait, basilic, sel et poivre
entree;Toasts au foie gras et pain d'épices;pain d'épices, Foie gras
entree;Verrine express betteraves Boursin;persil, betterave, boursin
entree;Soupe à l'oseille;vermicelles, crème fraîche, oseille, oeuf
entree;Pâté de lapin familial;armagnac, cognac, poivre, gros sel, oignon, lapin, poitrine de porc, barde de lard, crépine, ail
entree;Soupe à l'oignon au Thermomix;huile d'olive, beurre, farine, comté, oignon, pain de mie, vin blanc, bouillon
entree;Roulés feuilletés apéritifs;muscade, poivre, sel, gruyère râpé, crème fraîche, pâte feuilletée, jambon
entree;Feuilletés à la knacki;moutarde, knacki, pâte feuilletée
entree;Pâté de campagne en bocaux;feuille de laurier, poivre, sel, cognac, persil, sauté de porc, rôti de porc, foie, oeuf, échalote, ail
entree;Soupe à l'ail;sel, poivre, carotte, ail, pomme de terre
entree;Terrine de légumes (carotte, courgette, brocoli);sel, poivre, piment, courgette, carotte, brocoli, crème liquide, oeuf
entree;Feuilletés au pesto;huile d'olive, sel, pâte feuilletée, ail, basilic frais
entree;Pâté de tête de Nadette;sel, poivre, thym, carotte, oignon, persil, oignon, porc, ail, céleri
entree;Bourek à la viande hachée;huile d'olive, poivre, sel, piment, cumin, coriandre, oignon, feuille de brick, boeuf haché, Vache qui rit®, oeuf
entree;Rouleaux de printemps vegan;carotte, vermicelles de riz, feuille de riz, tofu, avocat, haricots verts, laitue, menthe, vinaigre de riz, huile de sésame, sauce soja
entree;Sushi rouget, maquereau, thon, saumon;vin, sucre, vinaigre de riz, riz, dashi, saumon, thon, rouget, maquereau, wasabi, sésame, nori
entree;Œuf Cocotte Halloween en Courge jack be Little;noix, muscade, sel, poivre, comté, crème fraîche, potimarron, citrouille, oeuf, mâche
entree;Mousse de betterave;betterave, ail, pain de mie, crème épaisse
entree;Ceviche de dorade à la mangue;huile d'olive, piment, coriandre, dorade, mangue, oignon rouge, citron vert, basilic, lait de coco, sel et poivre
